name,t_ms,num_dependent_lines,num_lines,num_deps
..\..\third_party\blink\renderer\platform\wtf\date_math.cc,1549,113999,729,186
..\..\third_party\blink\renderer\platform\wtf\decimal.cc,1433,100921,992,170
..\..\third_party\blink\renderer\platform\wtf\dtoa.cc,805,65432,158,126
..\..\third_party\blink\renderer\platform\wtf\dynamic_annotations.cc,387,133,58,2
..\..\third_party\blink\renderer\platform\wtf\hash_table.cc,788,50125,102,102
..\..\third_party\blink\renderer\platform\wtf\scoped_logger.cc,700,46341,102,92
..\..\third_party\blink\renderer\platform\wtf\shared_buffer.cc,1318,98798,237,167
..\..\third_party\blink\renderer\platform\wtf\size_assertions.cc,1235,98430,91,165
..\..\third_party\blink\renderer\platform\wtf\stack_util.cc,831,45792,216,88
..\..\third_party\blink\renderer\platform\wtf\text\ascii_ctype.cc,613,42349,57,67
..\..\third_party\blink\renderer\platform\wtf\text\atomic_string.cc,1394,100181,106,174
..\..\third_party\blink\renderer\platform\wtf\text\atomic_string_table.cc,1471,99099,230,169
..\..\third_party\blink\renderer\platform\wtf\text\base64.cc,1158,98618,328,167
..\..\third_party\blink\renderer\platform\wtf\text\case_map.cc,1155,100407,339,173
..\..\third_party\blink\renderer\platform\wtf\text\line_ending.cc,1349,98580,188,167
..\..\third_party\blink\renderer\platform\wtf\text\string_builder.cc,1616,101102,285,175
..\..\third_party\blink\renderer\platform\wtf\text\string_concatenate.cc,1454,98430,83,165
..\..\third_party\blink\renderer\platform\wtf\text\string_impl.cc,1409,99616,1720,173
..\..\third_party\blink\renderer\platform\wtf\text\string_statics.cc,1132,98597,98,168
..\..\third_party\blink\renderer\platform\wtf\text\string_to_number.cc,1124,97732,320,163
..\..\third_party\blink\renderer\platform\wtf\text\string_utf8_adaptor.cc,1585,99377,29,170
..\..\third_party\blink\renderer\platform\wtf\text\string_view.cc,1164,98430,112,165
..\..\third_party\blink\renderer\platform\wtf\text\text_codec.cc,1298,98575,60,166
..\..\third_party\blink\renderer\platform\wtf\text\text_codec_icu.cc,1576,102840,755,176
..\..\third_party\blink\renderer\platform\wtf\text\text_codec_latin1.cc,1312,98804,288,169
..\..\third_party\blink\renderer\platform\wtf\text\text_codec_replacement.cc,1166,98948,60,169
..\..\third_party\blink\renderer\platform\wtf\text\text_codec_user_defined.cc,1250,99045,143,169
..\..\third_party\blink\renderer\platform\wtf\text\text_codec_utf16.cc,1169,98968,205,169
..\..\third_party\blink\renderer\platform\wtf\text\text_codec_utf8.cc,1449,99104,559,171
..\..\third_party\blink\renderer\platform\wtf\text\text_encoding.cc,1142,98736,152,168
..\..\third_party\blink\renderer\platform\wtf\text\text_encoding_registry.cc,1387,99666,296,176
..\..\third_party\blink\renderer\platform\wtf\text\text_offset_map.cc,1359,99336,37,168
..\..\third_party\blink\renderer\platform\wtf\text\text_position.cc,1180,98551,74,166
..\..\third_party\blink\renderer\platform\wtf\text\text_stream.cc,1216,100738,126,169
..\..\third_party\blink\renderer\platform\wtf\text\utf8.cc,722,46367,476,80
..\..\third_party\blink\renderer\platform\wtf\text\wtf_string.cc,1427,103418,624,180
..\..\third_party\blink\renderer\platform\wtf\threading.cc,1227,99351,63,171
