name,t_ms,num_dependent_lines,num_lines,num_deps
..\..\build\precompile.cc,1362,88545,7,92
..\..\base\rand_util_win.cc,703,2648,38,17
gen\base\base_jumbo_1.cc,6235,75321,52,270
gen\base\base_jumbo_2.cc,6252,99201,50,338
gen\base\base_jumbo_3.cc,5536,81999,58,321
gen\base\base_jumbo_4.cc,4756,73050,36,251
gen\base\base_jumbo_5.cc,9597,109010,98,406
gen\base\base_jumbo_6.cc,6871,80667,49,288
gen\base\base_jumbo_7.cc,1695,37342,15,98
gen\base\base_jumbo_8.cc,11139,82775,52,330
..\..\build\precompile.cc,198,389,7,6
gen\base\base_jumbo_c.c,84,777,5,2
..\..\base\base_switches.cc,74,261,149,2
..\..\base\win\static_constants.cc,68,21,13,1
..\..\base\win\pe_image.cc,822,50097,651,59
..\..\third_party\boringssl\err_data.c,128,2097,1407,9
..\..\third_party\boringssl\src\crypto\asn1\a_bitstr.c,363,7504,271,22
..\..\third_party\boringssl\src\crypto\asn1\a_bool.c,125,6486,123,21
..\..\third_party\boringssl\src\crypto\asn1\a_d2i_fp.c,145,6486,93,21
..\..\third_party\boringssl\src\crypto\asn1\a_dup.c,151,6486,87,21
..\..\third_party\boringssl\src\crypto\asn1\a_enum.c,394,7504,195,22
..\..\third_party\boringssl\src\crypto\asn1\a_gentm.c,156,6590,261,22
..\..\third_party\boringssl\src\crypto\asn1\a_i2d_fp.c,134,6486,88,21
..\..\third_party\boringssl\src\crypto\asn1\a_int.c,357,7504,420,22
..\..\third_party\boringssl\src\crypto\asn1\a_mbstr.c,168,7412,305,25
..\..\third_party\boringssl\src\crypto\asn1\a_object.c,352,12715,286,26
..\..\third_party\boringssl\src\crypto\asn1\a_octet.c,130,6486,77,21
..\..\third_party\boringssl\src\crypto\asn1\a_print.c,120,6486,93,21
..\..\third_party\boringssl\src\crypto\asn1\a_strnid.c,154,11697,313,25
..\..\third_party\boringssl\src\crypto\asn1\a_time.c,154,7482,212,23
..\..\third_party\boringssl\src\crypto\asn1\a_type.c,150,12589,151,26
..\..\third_party\boringssl\src\crypto\asn1\a_utctm.c,159,6590,303,22
..\..\third_party\boringssl\src\crypto\asn1\a_utf8.c,145,6590,236,22
..\..\third_party\boringssl\src\crypto\asn1\asn1_lib.c,341,7522,446,23
..\..\third_party\boringssl\src\crypto\asn1\asn1_par.c,125,6174,80,18
..\..\third_party\boringssl\src\crypto\asn1\asn_pack.c,146,6486,105,21
..\..\third_party\boringssl\src\crypto\asn1\f_enum.c,125,6174,93,18
..\..\third_party\boringssl\src\crypto\asn1\f_int.c,109,6174,97,18
..\..\third_party\boringssl\src\crypto\asn1\f_string.c,129,6174,91,18
..\..\third_party\boringssl\src\crypto\asn1\tasn_dec.c,370,8396,1244,23
..\..\third_party\boringssl\src\crypto\asn1\tasn_enc.c,352,8396,664,23
..\..\third_party\boringssl\src\crypto\asn1\tasn_fre.c,133,7482,244,23
..\..\third_party\boringssl\src\crypto\asn1\tasn_new.c,357,13711,387,28
..\..\third_party\boringssl\src\crypto\asn1\tasn_typ.c,155,7066,131,19
..\..\third_party\boringssl\src\crypto\asn1\tasn_utl.c,383,13607,280,27
..\..\third_party\boringssl\src\crypto\asn1\time_support.c,139,6278,206,19
..\..\third_party\boringssl\src\crypto\base64\base64.c,303,3917,444,15
..\..\third_party\boringssl\src\crypto\bio\bio.c,358,7504,700,22
