name,t_ms,num_dependent_lines,num_lines,num_deps
..\..\third_party\blink\common\service_worker\service_worker_utils.cc,929,116848,17,159
..\..\third_party\blink\common\thread_safe_browser_interface_broker_proxy.cc,1367,133065,46,247
..\..\third_party\blink\common\web_package\signed_exchange_consts.cc,394,43765,16,53
..\..\third_party\blink\common\web_package\signed_exchange_request_matcher.cc,1619,121121,611,179
..\..\third_party\blink\common\font_unique_name_lookup\font_table_matcher.cc,1273,133092,89,188
..\..\third_party\blink\common\font_unique_name_lookup\font_table_persistence.cc,1362,138580,108,209
..\..\third_party\blink\common\font_unique_name_lookup\icu_fold_case_util.cc,496,58121,19,74
..\..\third_party\blink\common\dwrite_rasterizer_support\dwrite_rasterizer_support.cc,1280,83843,30,115
..\..\third_party\blink\common\feature_policy\feature_policy_mojom_traits.cc,1527,138877,44,285
..\..\third_party\blink\common\manifest\manifest_mojom_traits.cc,2161,168760,210,392
..\..\third_party\blink\common\user_agent\user_agent_mojom_traits.cc,1090,133102,43,255
..\..\third_party\blink\renderer\build\win\precompile.cc,1226,44443,7,55
..\..\third_party\blink\renderer\platform\wtf\allocator\allocator.cc,629,30233,20,55
..\..\third_party\blink\renderer\platform\wtf\allocator\partition_allocator.cc,1015,79996,36,147
..\..\third_party\blink\renderer\platform\wtf\allocator\partitions.cc,1170,82437,268,159
..\..\third_party\blink\renderer\platform\wtf\assertions.cc,602,26778,77,45
..\..\third_party\blink\renderer\platform\wtf\cross_thread_copier.cc,1165,104549,80,193
..\..\third_party\blink\renderer\platform\wtf\date_math.cc,1322,113999,729,186
..\..\third_party\blink\renderer\platform\wtf\decimal.cc,1340,100921,992,170
..\..\third_party\blink\renderer\platform\wtf\dtoa.cc,849,65432,158,126
..\..\third_party\blink\renderer\platform\wtf\dynamic_annotations.cc,354,133,58,2
..\..\third_party\blink\renderer\platform\wtf\hash_table.cc,742,50125,102,102
..\..\third_party\blink\renderer\platform\wtf\scoped_logger.cc,693,46341,102,92
..\..\third_party\blink\renderer\platform\wtf\shared_buffer.cc,1266,98798,237,167
..\..\third_party\blink\renderer\platform\wtf\size_assertions.cc,1143,98430,91,165
..\..\third_party\blink\renderer\platform\wtf\stack_util.cc,760,45792,216,88
..\..\third_party\blink\renderer\platform\wtf\text\ascii_ctype.cc,594,42349,57,67
..\..\third_party\blink\renderer\platform\wtf\text\atomic_string.cc,1159,100181,106,174
..\..\third_party\blink\renderer\platform\wtf\text\atomic_string_table.cc,1295,99099,230,169
..\..\third_party\blink\renderer\platform\wtf\text\base64.cc,1239,98618,328,167
..\..\third_party\blink\renderer\platform\wtf\text\case_map.cc,1165,100407,339,173
..\..\third_party\blink\renderer\platform\wtf\text\line_ending.cc,1121,98580,188,167
..\..\third_party\blink\renderer\platform\wtf\text\string_builder.cc,1365,101102,285,175
..\..\third_party\blink\renderer\platform\wtf\text\string_concatenate.cc,1097,98430,83,165
..\..\third_party\blink\renderer\platform\wtf\text\string_impl.cc,1306,99616,1720,173
..\..\third_party\blink\renderer\platform\wtf\text\string_statics.cc,1142,98597,98,168
..\..\third_party\blink\renderer\platform\wtf\text\string_to_number.cc,1082,97732,320,163
..\..\third_party\blink\renderer\platform\wtf\text\string_utf8_adaptor.cc,1130,99377,29,170
..\..\third_party\blink\renderer\platform\wtf\text\string_view.cc,1114,98430,112,165
..\..\third_party\blink\renderer\platform\wtf\text\text_codec.cc,1098,98575,60,166
..\..\third_party\blink\renderer\platform\wtf\text\text_codec_icu.cc,1266,102840,755,176
..\..\third_party\blink\renderer\platform\wtf\text\text_codec_latin1.cc,1141,98804,288,169
..\..\third_party\blink\renderer\platform\wtf\text\text_codec_replacement.cc,1107,98948,60,169
..\..\third_party\blink\renderer\platform\wtf\text\text_codec_user_defined.cc,1164,99045,143,169
..\..\third_party\blink\renderer\platform\wtf\text\text_codec_utf16.cc,1125,98968,205,169
..\..\third_party\blink\renderer\platform\wtf\text\text_codec_utf8.cc,1258,99104,559,171
..\..\third_party\blink\renderer\platform\wtf\text\text_encoding.cc,1105,98736,152,168
..\..\third_party\blink\renderer\platform\wtf\text\text_encoding_registry.cc,1281,99666,296,176
..\..\third_party\blink\renderer\platform\wtf\text\text_offset_map.cc,1077,99336,37,168
..\..\third_party\blink\renderer\platform\wtf\text\text_position.cc,1135,98551,74,166
..\..\third_party\blink\renderer\platform\wtf\text\text_stream.cc,1107,100738,126,169
..\..\third_party\blink\renderer\platform\wtf\text\utf8.cc,664,46367,476,80
..\..\third_party\blink\renderer\platform\wtf\text\wtf_string.cc,1269,103418,624,180
..\..\third_party\blink\renderer\platform\wtf\threading.cc,1134,99351,63,171
..\..\third_party\blink\renderer\platform\wtf\threading_win.cc,924,73172,202,112
..\..\third_party\blink\renderer\platform\wtf\uuid.cc,1175,99482,24,172
..\..\third_party\blink\renderer\platform\wtf\wtf.cc,1154,102883,84,184
..\..\third_party\blink\renderer\core\win\precompile_core.cc,11243,343695,7,1109
..\..\third_party\blink\renderer\controller\blink_initializer.cc,5858,61496,214,402
..\..\third_party\blink\renderer\controller\blink_leak_detector.cc,7246,138209,145,820
..\..\third_party\blink\renderer\controller\dev_tools_frontend_impl.cc,7475,115957,133,722
..\..\third_party\blink\renderer\controller\memory_usage_monitor.cc,4190,1026,85,8
..\..\third_party\blink\renderer\core\win\precompile_core.cc,11643,343695,7,1109
..\..\third_party\blink\renderer\core\core_initializer.cc,6569,118602,156,609
..\..\third_party\blink\renderer\core\win\precompile_core.cc,11671,343695,7,1109
..\..\third_party\blink\renderer\bindings\core\v8\active_script_wrappable.cc,3873,0,36,0
..\..\third_party\blink\renderer\bindings\core\v8\array_value.cc,3880,1090,69,5
..\..\third_party\blink\renderer\bindings\core\v8\binding_security.cc,4713,34607,512,168
..\..\third_party\blink\renderer\bindings\core\v8\custom\v8_custom_xpath_ns_resolver.cc,5710,67682,101,397
..\..\third_party\blink\renderer\bindings\core\v8\custom\v8_dev_tools_host_custom.cc,5588,59559,171,400
..\..\third_party\blink\renderer\bindings\core\v8\custom\v8_element_custom.cc,4239,4025,83,36
..\..\third_party\blink\renderer\bindings\core\v8\custom\v8_event_target_custom.cc,4427,24581,67,128
..\..\third_party\blink\renderer\bindings\core\v8\custom\v8_html_all_collection_custom.cc,4191,3426,82,18
..\..\third_party\blink\renderer\bindings\core\v8\custom\v8_html_plugin_element_custom.cc,4272,19218,161,75
..\..\third_party\blink\renderer\bindings\core\v8\custom\v8_message_channel_custom.cc,6625,111589,63,626
..\..\third_party\blink\renderer\bindings\core\v8\custom\v8_pop_state_event_custom.cc,4174,3105,113,22
..\..\third_party\blink\renderer\bindings\core\v8\custom\v8_promise_rejection_event_custom.cc,4070,2053,45,13
..\..\third_party\blink\renderer\bindings\core\v8\custom\v8_shadow_root_custom.cc,4109,4188,50,35
..\..\third_party\blink\renderer\bindings\core\v8\custom\v8_window_custom.cc,7181,122131,305,689
..\..\third_party\blink\renderer\bindings\core\v8\custom\v8_xml_http_request_custom.cc,8111,143786,120,851
..\..\third_party\blink\renderer\bindings\core\v8\custom_wrappable_adapter.cc,4200,2031,85,11
..\..\third_party\blink\renderer\bindings\core\v8\dictionary.cc,4152,1028,217,4
..\..\third_party\blink\renderer\bindings\core\v8\dictionary_helper_for_core.cc,5488,53865,272,362
..\..\third_party\blink\renderer\bindings\core\v8\generated_code_helper.cc,4140,5332,161,40
..\..\third_party\blink\renderer\bindings\core\v8\idl_dictionary_base.cc,3814,0,17,0
..\..\third_party\blink\renderer\bindings\core\v8\js_based_event_listener.cc,4231,2766,180,18
..\..\third_party\blink\renderer\bindings\core\v8\js_event_handler.cc,4355,1936,202,17
..\..\third_party\blink\renderer\bindings\core\v8\js_event_handler_for_content_attribute.cc,4998,33697,213,211
..\..\third_party\blink\renderer\bindings\core\v8\js_event_listener.cc,3927,1643,67,9
..\..\third_party\blink\renderer\bindings\core\v8\local_window_proxy.cc,7295,120416,583,671
..\..\third_party\blink\renderer\bindings\core\v8\module_record.cc,6822,91583,204,556
