name,t_ms,num_dependent_lines,num_lines,num_deps
..\..\base\observer_list_threadsafe.cc,797,41175,16,102
..\..\base\observer_list_types.cc,656,22107,16,59
..\..\base\one_shot_event.cc,842,39452,111,98
..\..\base\path_service.cc,1492,34693,339,75
..\..\base\pending_task.cc,698,35058,43,76
..\..\base\pickle.cc,770,22803,435,60
..\..\base\power_monitor\power_monitor.cc,1412,52634,84,139
..\..\base\power_monitor\power_monitor_device_source.cc,860,21808,28,59
..\..\base\power_monitor\power_monitor_source.cc,835,41356,69,105
..\..\base\process\environment_internal.cc,566,3325,128,20
..\..\base\process\kill.cc,1149,42973,62,110
..\..\base\process\kill_win.cc,930,33715,116,70
..\..\base\process\launch.cc,1052,33021,27,66
..\..\base\process\launch_win.cc,1471,47909,431,125
..\..\base\process\memory.cc,518,15192,54,33
..\..\base\process\memory_win.cc,745,14348,84,29
..\..\base\process\process_handle.cc,492,14273,40,28
..\..\base\process\process_handle_win.cc,789,28334,52,55
..\..\base\process\process_info_win.cc,947,31099,86,61
..\..\base\process\process_iterator.cc,972,33485,66,68
..\..\base\process\process_iterator_win.cc,974,33485,43,68
..\..\base\process\process_metrics.cc,756,35324,167,68
..\..\base\process\process_metrics_win.cc,1085,35775,305,72
..\..\base\process\process_win.cc,1173,42385,252,102
..\..\base\profiler\frame.cc,741,14006,14,28
..\..\base\profiler\metadata_recorder.cc,1058,35522,205,76
..\..\base\profiler\native_unwinder_win.cc,950,14396,98,33
..\..\base\profiler\profile_builder.cc,888,18716,7,43
..\..\base\profiler\sample_metadata.cc,896,20485,35,52
..\..\base\profiler\sampling_profiler_thread_token.cc,563,7503,17,32
..\..\base\profiler\stack_buffer.cc,408,194,17,4
..\..\base\profiler\stack_copier.cc,625,754,74,5
..\..\base\profiler\stack_copier_suspend.cc,981,20826,82,56
..\..\base\profiler\stack_sampler.cc,573,7667,27,35
..\..\base\profiler\stack_sampler_impl.cc,984,21035,116,59
..\..\base\profiler\stack_sampler_win.cc,976,33311,40,76
..\..\base\profiler\stack_sampling_profiler.cc,1796,54436,763,155
..\..\base\profiler\suspendable_thread_delegate_win.cc,978,33894,231,76
..\..\base\rand_util.cc,561,15832,82,30
..\..\base\run_loop.cc,1212,42749,359,114
..\..\base\sampling_heap_profiler\lock_free_address_hash_set.cc,618,14873,64,32
..\..\base\sampling_heap_profiler\module_cache.cc,877,13977,60,27
..\..\base\sampling_heap_profiler\module_cache_win.cc,1127,29820,151,62
..\..\base\sampling_heap_profiler\poisson_allocation_sampler.cc,1001,42114,558,114
..\..\base\sampling_heap_profiler\sampling_heap_profiler.cc,1284,43702,298,123
..\..\base\scoped_clear_last_error_win.cc,658,332,22,4
..\..\base\scoped_native_library.cc,822,14515,40,30
..\..\base\sequence_checker_impl.cc,656,20751,91,55
..\..\base\sequence_token.cc,577,15761,96,39
..\..\base\sequenced_task_runner.cc,842,38744,38,89
..\..\base\strings\latin1_string_conversions.cc,408,674,19,6
..\..\base\strings\nullable_string16.cc,566,14235,33,29
..\..\base\strings\pattern.cc,429,3675,155,20
..\..\base\strings\safe_sprintf.cc,460,2919,682,18
..\..\base\strings\strcat.cc,644,14759,81,30
..\..\base\strings\string_number_conversions.cc,885,20045,516,49
..\..\base\strings\string_piece.cc,528,3264,453,19
..\..\base\strings\string_split.cc,822,14785,253,30
..\..\base\strings\string_util.cc,907,16551,1145,34
..\..\base\strings\string_util_constants.cc,525,14180,54,28
..\..\base\strings\stringprintf.cc,653,14308,225,30
..\..\base\strings\sys_string_conversions_win.cc,686,3294,71,19
..\..\base\strings\utf_offset_string_conversions.cc,577,3424,263,20
..\..\base\strings\utf_string_conversion_utils.cc,434,1182,155,7
..\..\base\strings\utf_string_conversions.cc,540,14776,342,31
..\..\base\supports_user_data.cc,733,21711,74,57
..\..\base\sync_socket_win.cc,975,33022,356,67
..\..\base\synchronization\atomic_flag.cc,634,8230,30,37
..\..\base\synchronization\condition_variable_win.cc,925,20688,69,51
..\..\base\synchronization\lock.cc,587,8018,38,34
..\..\base\synchronization\lock_impl_win.cc,1198,41150,40,97
..\..\base\synchronization\waitable_event_watcher_win.cc,1103,37956,61,90
..\..\base\synchronization\waitable_event_win.cc,1249,42544,153,102
..\..\base\syslog_logging.cc,986,36280,143,81
..\..\base\system\sys_info.cc,1041,44207,135,116
..\..\base\system\system_monitor.cc,1083,41250,51,103
..\..\base\task\cancelable_task_tracker.cc,1141,39845,182,96
..\..\base\task\common\checked_lock_impl.cc,932,27282,170,63
..\..\base\task\common\operations_controller.cc,609,27248,104,51
..\..\base\task\common\scoped_defer_task_posting.cc,875,37198,91,88
..\..\base\task\common\task_annotator.cc,1210,52812,191,139
..\..\base\task\lazy_task_runner.cc,974,40511,122,101
..\..\base\task\post_job.cc,1054,47623,192,139
..\..\base\task\post_task.cc,1021,50039,162,147
..\..\base\task\promise\abstract_promise.cc,1064,40821,740,98
..\..\base\task\promise\dependent_list.cc,879,36004,282,79
..\..\base\task\promise\finally_executor.cc,783,39298,21,89
..\..\base\task\promise\helpers.cc,859,39778,60,94
..\..\base\task\promise\no_op_promise_executor.cc,814,36556,59,83
..\..\base\task\promise\promise_executor.cc,513,3798,37,20
..\..\base\task\promise\promise_value.cc,730,36004,22,79
..\..\base\task\promise\then_and_catch_executor.cc,844,39396,55,89
