name,t_ms,num_dependent_lines,num_lines,num_deps
..\..\build\precompile.cc,1338,88545,7,92
..\..\base\rand_util_win.cc,670,2648,38,17
gen\base\base_jumbo_1.cc,1006,39718,14,106
gen\base\base_jumbo_2.cc,3555,62332,17,183
gen\base\base_jumbo_3.cc,3553,62513,24,202
gen\base\base_jumbo_4.cc,1422,48600,9,135
gen\base\base_jumbo_5.cc,3165,72398,28,244
gen\base\base_jumbo_6.cc,2533,75437,19,234
gen\base\base_jumbo_7.cc,3333,63846,11,175
gen\base\base_jumbo_8.cc,3650,69596,20,221
gen\base\base_jumbo_9.cc,3166,69684,31,239
gen\base\base_jumbo_10.cc,1289,37799,15,109
gen\base\base_jumbo_11.cc,3219,65112,15,213
gen\base\base_jumbo_12.cc,1293,44632,13,122
gen\base\base_jumbo_13.cc,2093,42538,16,105
gen\base\base_jumbo_14.cc,3463,71564,28,245
gen\base\base_jumbo_15.cc,791,27020,8,84
gen\base\base_jumbo_16.cc,4196,78210,22,236
gen\base\base_jumbo_17.cc,3996,76457,32,262
gen\base\base_jumbo_18.cc,2624,77565,14,236
gen\base\base_jumbo_19.cc,1737,47234,14,136
gen\base\base_jumbo_20.cc,1675,61670,20,197
gen\base\base_jumbo_21.cc,5425,71899,26,240
gen\base\base_jumbo_22.cc,2342,56261,11,160
gen\base\base_jumbo_23.cc,1631,37342,15,98
gen\base\base_jumbo_24.cc,1972,48536,20,159
gen\base\base_jumbo_25.cc,10970,69596,21,244
gen\base\base_jumbo_26.cc,2268,63405,19,212
..\..\build\precompile.cc,181,389,7,6
gen\base\base_jumbo_c.c,84,777,5,2
..\..\base\base_switches.cc,76,261,149,2
..\..\base\win\static_constants.cc,67,21,13,1
..\..\base\win\pe_image.cc,840,50097,651,59
..\..\third_party\boringssl\err_data.c,113,2097,1407,9
..\..\third_party\boringssl\src\crypto\asn1\a_bitstr.c,360,7504,271,22
..\..\third_party\boringssl\src\crypto\asn1\a_bool.c,125,6486,123,21
..\..\third_party\boringssl\src\crypto\asn1\a_d2i_fp.c,126,6486,93,21
..\..\third_party\boringssl\src\crypto\asn1\a_dup.c,136,6486,87,21
..\..\third_party\boringssl\src\crypto\asn1\a_enum.c,381,7504,195,22
..\..\third_party\boringssl\src\crypto\asn1\a_gentm.c,167,6590,261,22
..\..\third_party\boringssl\src\crypto\asn1\a_i2d_fp.c,153,6486,88,21
..\..\third_party\boringssl\src\crypto\asn1\a_int.c,364,7504,420,22
..\..\third_party\boringssl\src\crypto\asn1\a_mbstr.c,162,7412,305,25
..\..\third_party\boringssl\src\crypto\asn1\a_object.c,354,12715,286,26
..\..\third_party\boringssl\src\crypto\asn1\a_octet.c,147,6486,77,21
..\..\third_party\boringssl\src\crypto\asn1\a_print.c,114,6486,93,21
..\..\third_party\boringssl\src\crypto\asn1\a_strnid.c,163,11697,313,25
..\..\third_party\boringssl\src\crypto\asn1\a_time.c,153,7482,212,23
..\..\third_party\boringssl\src\crypto\asn1\a_type.c,144,12589,151,26
..\..\third_party\boringssl\src\crypto\asn1\a_utctm.c,158,6590,303,22
..\..\third_party\boringssl\src\crypto\asn1\a_utf8.c,157,6590,236,22
..\..\third_party\boringssl\src\crypto\asn1\asn1_lib.c,368,7522,446,23
..\..\third_party\boringssl\src\crypto\asn1\asn1_par.c,122,6174,80,18
..\..\third_party\boringssl\src\crypto\asn1\asn_pack.c,136,6486,105,21
..\..\third_party\boringssl\src\crypto\asn1\f_enum.c,124,6174,93,18
..\..\third_party\boringssl\src\crypto\asn1\f_int.c,135,6174,97,18
..\..\third_party\boringssl\src\crypto\asn1\f_string.c,111,6174,91,18
..\..\third_party\boringssl\src\crypto\asn1\tasn_dec.c,399,8396,1244,23
..\..\third_party\boringssl\src\crypto\asn1\tasn_enc.c,376,8396,664,23
..\..\third_party\boringssl\src\crypto\asn1\tasn_fre.c,165,7482,244,23
..\..\third_party\boringssl\src\crypto\asn1\tasn_new.c,340,13711,387,28
..\..\third_party\boringssl\src\crypto\asn1\tasn_typ.c,165,7066,131,19
..\..\third_party\boringssl\src\crypto\asn1\tasn_utl.c,389,13607,280,27
..\..\third_party\boringssl\src\crypto\asn1\time_support.c,133,6278,206,19
..\..\third_party\boringssl\src\crypto\base64\base64.c,309,3917,444,15
..\..\third_party\boringssl\src\crypto\bio\bio.c,402,7504,700,22
..\..\third_party\boringssl\src\crypto\bio\bio_mem.c,328,5451,330,19
..\..\third_party\boringssl\src\crypto\bio\connect.c,370,5562,545,20
..\..\third_party\boringssl\src\crypto\bio\fd.c,355,5562,279,20
..\..\third_party\boringssl\src\crypto\bio\file.c,331,5451,317,19
..\..\third_party\boringssl\src\crypto\bio\hexdump.c,334,5276,192,18
..\..\third_party\boringssl\src\crypto\bio\pair.c,362,5451,488,19
..\..\third_party\boringssl\src\crypto\bio\printf.c,114,4433,115,18
..\..\third_party\boringssl\src\crypto\bio\socket.c,326,4267,206,17
..\..\third_party\boringssl\src\crypto\bio\socket_helper.c,339,5387,118,19
..\..\third_party\boringssl\src\crypto\bn_extra\bn_asn1.c,107,4066,64,13
..\..\third_party\boringssl\src\crypto\bn_extra\convert.c,356,8010,470,24
..\..\third_party\boringssl\src\crypto\buf\buf.c,331,4500,168,17
..\..\third_party\boringssl\src\crypto\bytestring\asn1_compat.c,305,4724,52,18
..\..\third_party\boringssl\src\crypto\bytestring\ber.c,321,4549,265,17
..\..\third_party\boringssl\src\crypto\bytestring\cbb.c,359,4628,679,17
..\..\third_party\boringssl\src\crypto\bytestring\cbs.c,376,4821,630,19
..\..\third_party\boringssl\src\crypto\bytestring\unicode.c,84,2368,155,10
..\..\third_party\boringssl\src\crypto\chacha\chacha.c,318,4025,184,17
..\..\third_party\boringssl\src\crypto\cipher_extra\cipher_extra.c,328,9378,143,19
..\..\third_party\boringssl\src\crypto\cipher_extra\derive_key.c,91,2826,152,12
..\..\third_party\boringssl\src\crypto\cipher_extra\e_aesccm.c,357,6446,447,22
..\..\third_party\boringssl\src\crypto\cipher_extra\e_aesctrhmac.c,362,6887,283,24
..\..\third_party\boringssl\src\crypto\cipher_extra\e_aesgcmsiv.c,374,6887,883,24
..\..\third_party\boringssl\src\crypto\cipher_extra\e_chacha20poly1305.c,347,6583,418,25
..\..\third_party\boringssl\src\crypto\cipher_extra\e_null.c,276,8614,85,16
..\..\third_party\boringssl\src\crypto\cipher_extra\e_rc2.c,329,8614,462,16
..\..\third_party\boringssl\src\crypto\cipher_extra\e_rc4.c,93,6529,87,10
..\..\third_party\boringssl\src\crypto\cipher_extra\e_tls.c,356,7467,688,27
..\..\third_party\boringssl\src\crypto\cipher_extra\tls_cbc.c,355,10147,491,23
..\..\third_party\boringssl\src\crypto\cmac\cmac.c,333,4826,291,18
..\..\third_party\boringssl\src\crypto\conf\conf.c,384,6071,810,23
..\..\third_party\boringssl\src\crypto\cpu-aarch64-fuchsia.c,65,1758,55,8
..\..\third_party\boringssl\src\crypto\cpu-aarch64-linux.c,75,1758,62,8
..\..\third_party\boringssl\src\crypto\cpu-arm-linux.c,72,1758,218,8
..\..\third_party\boringssl\src\crypto\cpu-arm.c,76,1758,38,8
..\..\third_party\boringssl\src\crypto\cpu-intel.c,369,15847,282,28
..\..\third_party\boringssl\src\crypto\cpu-ppc64le.c,72,1758,43,8
..\..\third_party\boringssl\src\crypto\crypto.c,308,4555,215,18
..\..\third_party\boringssl\src\crypto\curve25519\spake25519.c,327,5456,539,21
..\..\third_party\boringssl\src\crypto\dh\check.c,115,4013,217,14
..\..\third_party\boringssl\src\crypto\dh\dh.c,350,5804,518,19
..\..\third_party\boringssl\src\crypto\dh\dh_asn1.c,114,5398,160,19
..\..\third_party\boringssl\src\crypto\dh\params.c,365,5859,93,18
..\..\third_party\boringssl\src\crypto\digest_extra\digest_extra.c,413,12634,240,25
..\..\third_party\boringssl\src\crypto\dsa\dsa.c,375,7768,970,25
..\..\third_party\boringssl\src\crypto\dsa\dsa_asn1.c,136,5859,339,22
..\..\third_party\boringssl\src\crypto\ec_extra\ec_asn1.c,373,12666,574,27
..\..\third_party\boringssl\src\crypto\ec_extra\ec_derive.c,352,7989,95,25
..\..\third_party\boringssl\src\crypto\ecdh_extra\ecdh_extra.c,326,8043,124,25
..\..\third_party\boringssl\src\crypto\ecdsa_extra\ecdsa_asn1.c,329,8616,267,27
..\..\third_party\boringssl\src\crypto\engine\engine.c,348,6046,99,20
..\..\third_party\boringssl\src\crypto\err\err.c,364,4518,849,18
