name,t_ms,num_dependent_lines,num_lines,num_deps
gen\mojo\public\mojom\base\time.mojom.cc,1567,143696,135,294
gen\mojo\public\mojom\base\token.mojom-test-utils.cc,47,0,35,0
gen\mojo\public\mojom\base\token.mojom.cc,1618,143064,84,293
gen\mojo\public\mojom\base\unguessable_token.mojom-test-utils.cc,48,0,35,0
gen\mojo\public\mojom\base\unguessable_token.mojom.cc,1557,143101,84,294
gen\mojo\public\mojom\base\values.mojom-test-utils.cc,44,0,35,0
gen\mojo\public\mojom\base\values.mojom.cc,1982,145572,298,297
gen\mojo\public\mojom\base\logfont_win.mojom-test-utils.cc,53,0,35,0
gen\mojo\public\mojom\base\logfont_win.mojom.cc,1729,143084,79,294
gen\services\tracing\public\mojom\background_tracing_agent.mojom-test-utils.cc,1568,144489,79,321
gen\services\tracing\public\mojom\background_tracing_agent.mojom.cc,1851,150843,677,339
gen\services\tracing\public\mojom\traced_process.mojom-test-utils.cc,1785,152240,60,343
gen\services\tracing\public\mojom\traced_process.mojom.cc,2192,158328,351,361
gen\services\tracing\public\mojom\tracing_service.mojom-test-utils.cc,1909,152925,56,347
gen\services\tracing\public\mojom\tracing_service.mojom.cc,2226,159112,377,366
gen\services\tracing\public\mojom\constants.mojom-test-utils.cc,54,0,35,0
gen\services\tracing\public\mojom\constants.mojom.cc,1565,142701,53,292
gen\services\tracing\public\mojom\perfetto_service.mojom-test-utils.cc,2105,152079,222,344
gen\services\tracing\public\mojom\perfetto_service.mojom.cc,3628,159477,3106,361
gen\services\tracing\public\mojom\background_tracing_agent.mojom-shared.cc,1494,140306,365,295
gen\services\tracing\public\mojom\traced_process.mojom-shared.cc,1586,142528,186,297
gen\services\tracing\public\mojom\tracing_service.mojom-shared.cc,1563,142883,254,299
gen\services\tracing\public\mojom\constants.mojom-shared.cc,50,0,19,0
gen\services\tracing\public\mojom\perfetto_service.mojom-shared.cc,1802,143652,2059,295
gen\services\metrics\public\mojom\ukm_interface.mojom-test-utils.cc,1539,147986,52,336
gen\services\metrics\public\mojom\ukm_interface.mojom.cc,2081,154098,302,354
gen\services\metrics\public\mojom\ukm_interface.mojom-shared.cc,1483,140449,199,297
gen\url\mojom\url.mojom-shared.cc,1434,132971,85,253
gen\url\mojom\url.mojom-test-utils.cc,50,0,35,0
gen\url\mojom\url.mojom.cc,1649,145897,79,302
gen\content\public\common\service_names.mojom-test-utils.cc,48,0,35,0
gen\content\public\common\service_names.mojom.cc,1558,142699,55,292
gen\chrome\common\available_offline_content.mojom-test-utils.cc,1705,148409,78,337
gen\chrome\common\available_offline_content.mojom.cc,2254,154706,640,355
gen\chrome\common\available_offline_content.mojom-shared.cc,1525,140898,449,297
gen\chrome\common\cache_stats_recorder.mojom-test-utils.cc,1638,144188,48,321
gen\chrome\common\cache_stats_recorder.mojom.cc,1845,150224,173,339
gen\chrome\common\chrome_render_frame.mojom-test-utils.cc,2772,183090,123,476
gen\chrome\common\chrome_render_frame.mojom.cc,3005,188368,1110,488
gen\chrome\common\content_settings_agent.mojom-test-utils.cc,1725,144202,54,321
gen\chrome\common\content_settings_agent.mojom.cc,1891,150338,299,339
gen\chrome\common\content_settings_manager.mojom-test-utils.cc,2200,168194,76,425
gen\chrome\common\content_settings_manager.mojom.cc,2576,173116,641,437
gen\chrome\common\media\webrtc_logging.mojom-test-utils.cc,1659,145928,66,328
gen\chrome\common\media\webrtc_logging.mojom.cc,2027,152124,473,346
gen\chrome\common\metrics.mojom-test-utils.cc,1630,144203,63,321
gen\chrome\common\metrics.mojom.cc,1917,150287,392,339
gen\chrome\common\navigation_corrector.mojom-test-utils.cc,1643,147653,50,337
gen\chrome\common\navigation_corrector.mojom.cc,1861,153751,234,355
gen\chrome\common\net_benchmarking.mojom-test-utils.cc,1708,144254,101,321
gen\chrome\common\net_benchmarking.mojom.cc,2327,150648,1228,339
