name,t_ms,num_dependent_lines,num_lines,num_deps
..\..\third_party\boringssl\src\crypto\asn1\tasn_dec.c,372,8396,1244,23
..\..\third_party\boringssl\src\crypto\asn1\tasn_enc.c,355,8396,664,23
..\..\third_party\boringssl\src\crypto\asn1\tasn_fre.c,155,7482,244,23
..\..\third_party\boringssl\src\crypto\asn1\tasn_new.c,369,13711,387,28
..\..\third_party\boringssl\src\crypto\asn1\tasn_typ.c,158,7066,131,19
..\..\third_party\boringssl\src\crypto\asn1\tasn_utl.c,356,13607,280,27
..\..\third_party\boringssl\src\crypto\asn1\time_support.c,127,6278,206,19
..\..\third_party\boringssl\src\crypto\base64\base64.c,336,3917,444,15
..\..\third_party\boringssl\src\crypto\bio\bio.c,349,7504,700,22
..\..\third_party\boringssl\src\crypto\bio\bio_mem.c,312,5451,330,19
..\..\third_party\boringssl\src\crypto\bio\connect.c,387,5562,545,20
..\..\third_party\boringssl\src\crypto\bio\fd.c,347,5562,279,20
..\..\third_party\boringssl\src\crypto\bio\file.c,367,5451,317,19
..\..\third_party\boringssl\src\crypto\bio\hexdump.c,327,5276,192,18
..\..\third_party\boringssl\src\crypto\bio\pair.c,403,5451,488,19
..\..\third_party\boringssl\src\crypto\bio\printf.c,128,4433,115,18
..\..\third_party\boringssl\src\crypto\bio\socket.c,365,4267,206,17
..\..\third_party\boringssl\src\crypto\bio\socket_helper.c,348,5387,118,19
..\..\third_party\boringssl\src\crypto\bn_extra\bn_asn1.c,106,4066,64,13
..\..\third_party\boringssl\src\crypto\bn_extra\convert.c,378,8010,470,24
..\..\third_party\boringssl\src\crypto\buf\buf.c,351,4500,168,17
..\..\third_party\boringssl\src\crypto\bytestring\asn1_compat.c,284,4724,52,18
..\..\third_party\boringssl\src\crypto\bytestring\ber.c,293,4549,265,17
..\..\third_party\boringssl\src\crypto\bytestring\cbb.c,311,4628,679,17
..\..\third_party\boringssl\src\crypto\bytestring\cbs.c,358,4821,630,19
..\..\third_party\boringssl\src\crypto\bytestring\unicode.c,73,2368,155,10
..\..\third_party\boringssl\src\crypto\chacha\chacha.c,321,4025,184,17
..\..\third_party\boringssl\src\crypto\cipher_extra\cipher_extra.c,338,9378,143,19
..\..\third_party\boringssl\src\crypto\cipher_extra\derive_key.c,91,2826,152,12
..\..\third_party\boringssl\src\crypto\cipher_extra\e_aesccm.c,343,6446,447,22
..\..\third_party\boringssl\src\crypto\cipher_extra\e_aesctrhmac.c,308,6887,283,24
..\..\third_party\boringssl\src\crypto\cipher_extra\e_aesgcmsiv.c,350,6887,883,24
..\..\third_party\boringssl\src\crypto\cipher_extra\e_chacha20poly1305.c,389,6583,418,25
..\..\third_party\boringssl\src\crypto\cipher_extra\e_null.c,309,8614,85,16
..\..\third_party\boringssl\src\crypto\cipher_extra\e_rc2.c,288,8614,462,16
..\..\third_party\boringssl\src\crypto\cipher_extra\e_rc4.c,89,6529,87,10
..\..\third_party\boringssl\src\crypto\cipher_extra\e_tls.c,367,7467,688,27
..\..\third_party\boringssl\src\crypto\cipher_extra\tls_cbc.c,315,10147,491,23
..\..\third_party\boringssl\src\crypto\cmac\cmac.c,352,4826,291,18
..\..\third_party\boringssl\src\crypto\conf\conf.c,372,6071,810,23
..\..\third_party\boringssl\src\crypto\cpu-aarch64-fuchsia.c,79,1758,55,8
..\..\third_party\boringssl\src\crypto\cpu-aarch64-linux.c,76,1758,62,8
..\..\third_party\boringssl\src\crypto\cpu-arm-linux.c,71,1758,218,8
..\..\third_party\boringssl\src\crypto\cpu-arm.c,71,1758,38,8
..\..\third_party\boringssl\src\crypto\cpu-intel.c,361,15847,282,28
..\..\third_party\boringssl\src\crypto\cpu-ppc64le.c,72,1758,43,8
..\..\third_party\boringssl\src\crypto\crypto.c,275,4555,215,18
..\..\third_party\boringssl\src\crypto\curve25519\spake25519.c,331,5456,539,21
..\..\third_party\boringssl\src\crypto\dh\check.c,112,4013,217,14
..\..\third_party\boringssl\src\crypto\dh\dh.c,348,5804,518,19
..\..\third_party\boringssl\src\crypto\dh\dh_asn1.c,114,5398,160,19
..\..\third_party\boringssl\src\crypto\dh\params.c,313,5859,93,18
..\..\third_party\boringssl\src\crypto\digest_extra\digest_extra.c,351,12634,240,25
..\..\third_party\boringssl\src\crypto\dsa\dsa.c,363,7768,970,25
..\..\third_party\boringssl\src\crypto\dsa\dsa_asn1.c,145,5859,339,22
..\..\third_party\boringssl\src\crypto\ec_extra\ec_asn1.c,336,12666,574,27
..\..\third_party\boringssl\src\crypto\ec_extra\ec_derive.c,331,7989,95,25
..\..\third_party\boringssl\src\crypto\ecdh_extra\ecdh_extra.c,369,8043,124,25
..\..\third_party\boringssl\src\crypto\ecdsa_extra\ecdsa_asn1.c,336,8616,267,27
..\..\third_party\boringssl\src\crypto\engine\engine.c,335,6046,99,20
..\..\third_party\boringssl\src\crypto\err\err.c,378,4518,849,18
..\..\third_party\boringssl\src\crypto\evp\digestsign.c,127,11206,231,22
..\..\third_party\boringssl\src\crypto\evp\evp.c,349,13652,443,28
..\..\third_party\boringssl\src\crypto\evp\evp_asn1.c,369,14203,388,29
..\..\third_party\boringssl\src\crypto\evp\evp_ctx.c,362,12424,484,25
..\..\third_party\boringssl\src\crypto\evp\p_dsa_asn1.c,140,13403,273,26
..\..\third_party\boringssl\src\crypto\evp\p_ec.c,340,15864,286,33
..\..\third_party\boringssl\src\crypto\evp\p_ec_asn1.c,127,13948,255,28
..\..\third_party\boringssl\src\crypto\evp\p_ed25519.c,139,11686,104,25
..\..\third_party\boringssl\src\crypto\evp\p_ed25519_asn1.c,361,13431,221,28
..\..\third_party\boringssl\src\crypto\evp\p_rsa.c,360,14418,635,30
..\..\third_party\boringssl\src\crypto\evp\p_rsa_asn1.c,153,13400,194,29
..\..\third_party\boringssl\src\crypto\evp\p_x25519.c,136,11686,110,25
..\..\third_party\boringssl\src\crypto\evp\p_x25519_asn1.c,380,13431,248,28
..\..\third_party\boringssl\src\crypto\evp\pbkdf.c,303,10809,146,21
..\..\third_party\boringssl\src\crypto\evp\print.c,347,15739,489,33
..\..\third_party\boringssl\src\crypto\evp\scrypt.c,326,11259,213,22
..\..\third_party\boringssl\src\crypto\evp\sign.c,115,11094,151,21
..\..\third_party\boringssl\src\crypto\ex_data.c,327,4804,261,18
..\..\third_party\boringssl\src\crypto\fipsmodule\bcm.c,1422,52234,260,123
..\..\third_party\boringssl\src\crypto\fipsmodule\fips_shared_support.c,67,744,32,2
..\..\third_party\boringssl\src\crypto\fipsmodule\is_fips.c,89,2490,29,13
..\..\third_party\boringssl\src\crypto\hkdf\hkdf.c,326,4768,112,18
..\..\third_party\boringssl\src\crypto\hrss\hrss.c,481,15810,2512,27
..\..\third_party\boringssl\src\crypto\lhash\lhash.c,308,4184,348,16
..\..\third_party\boringssl\src\crypto\mem.c,343,4363,342,16
..\..\third_party\boringssl\src\crypto\obj\obj.c,470,24555,553,28
..\..\third_party\boringssl\src\crypto\obj\obj_xref.c,316,8938,122,18
..\..\third_party\boringssl\src\crypto\pem\pem_all.c,224,20162,261,45
..\..\third_party\boringssl\src\crypto\pem\pem_info.c,210,20162,360,45
..\..\third_party\boringssl\src\crypto\pem\pem_lib.c,418,21482,777,48
..\..\third_party\boringssl\src\crypto\pem\pem_oth.c,187,20287,87,46
..\..\third_party\boringssl\src\crypto\pem\pem_pk8.c,188,20705,257,47
..\..\third_party\boringssl\src\crypto\pem\pem_pkey.c,197,20705,218,47
..\..\third_party\boringssl\src\crypto\pem\pem_x509.c,168,20162,65,45
..\..\third_party\boringssl\src\crypto\pem\pem_xaux.c,186,20162,65,45
..\..\third_party\boringssl\src\crypto\pkcs7\pkcs7.c,127,4139,159,19
..\..\third_party\boringssl\src\crypto\pkcs7\pkcs7_x509.c,453,21229,385,47
..\..\third_party\boringssl\src\crypto\pkcs8\p5_pbev2.c,400,21246,316,47
..\..\third_party\boringssl\src\crypto\pkcs8\pkcs8.c,409,21342,530,48
..\..\third_party\boringssl\src\crypto\pkcs8\pkcs8_x509.c,433,22420,1410,50
..\..\third_party\boringssl\src\crypto\poly1305\poly1305.c,322,4031,318,17
..\..\third_party\boringssl\src\crypto\poly1305\poly1305_arm.c,291,3819,304,16
..\..\third_party\boringssl\src\crypto\poly1305\poly1305_vec.c,323,3778,839,15
..\..\third_party\boringssl\src\crypto\pool\pool.c,326,5057,220,20
..\..\third_party\boringssl\src\crypto\rand_extra\deterministic.c,64,1671,56,8
